Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days
2/27/2008,28.26,20.97869054,16.05303295,2.05,1.87,75194910,1.206664966,0.315730952,13,0,8,21,0.619047619,0,0.380952381,4.17857,263015.2476,70.87,0.283337255,0.459953356,0.366790455
2/28/2008,27.93,20.73371644,15.86557715,2.05,1.87,83003360,1.206664966,0.315964257,13,0,8,21,0.619047619,0,0.380952381,4.17857,259943.9443,67.85,0.290034481,0.451263611,0.306148112
2/29/2008,27.1999,20.19172982,15.4508454,2.05,1.87,117396200,1.206664966,0.322606996,13,0,8,21,0.619047619,0,0.380952381,4.17857,253148.9184,64.47,0.292950508,0.444357016,0.311695822
3/3/2008,26.99,20.03591145,15.33161215,2.05,1.86,76568680,1.206664966,0.314155037,13,0,7,20,0.65,0,0.35,4.22222,251195.3833,62.43,0.461580006,0.444809075,0.412498509
3/4/2008,27.59,20.48131889,15.67244087,2.08,1.86,86915160,1.206664966,0.247515642,14,0,7,21,0.666666667,0,0.333333333,4.25,256779.5712,65.34,0.626416476,0.453099746,0.500298197
3/5/2008,28.1199,20.8746879,15.97344944,2.08,1.86,106476500,1.206664966,0.259960473,15,0,7,22,0.681818182,0,0.318181818,4.27586,261711.3398,64.9901,0.518796397,0.634904229,0.514208204
3/6/2008,27.57,20.46647198,15.66107992,2.08,1.86,91129290,1.206664966,0.236105987,15,0,8,23,0.652173913,0,0.347826087,4.23333,256593.4316,62.74,0.47583674,0.66898889,0.508099092
3/7/2008,27.87,20.6891757,15.83149428,2.08,1.86,77602760,1.206664966,0.232057285,15,0,8,23,0.652173913,0,0.347826087,4.23333,259385.5255,64.09,0.432219161,0.704437744,0.448448268
3/10/2008,28.05,20.82279793,15.9337429,2.08,1.86,72533440,1.206664966,0.228207273,15,0,8,23,0.652173913,0,0.347826087,4.23333,261060.7819,63.47,0.422013509,0.648241177,0.419981724
3/11/2008,29.28,21.73588319,16.63244178,2.08,1.86,98750840,1.243374104,0.267865783,15,0,8,23,0.652173913,0,0.347826087,4.23333,272508.367,67.15,0.254334429,0.527268202,0.396813668
3/12/2008,28.63,21.25335846,16.26321066,2.08,1.86,75992660,1.243374104,0.276540215,15,0,8,23,0.652173913,0,0.347826087,4.23333,266458.8301,66.51,0.65166932,0.604355709,0.536675269
3/13/2008,28.62,21.245935,16.25753018,2.08,1.86,84554740,1.243374104,0.27623495,15,0,8,23,0.652173913,0,0.347826087,4.23333,266365.7603,68.32,0.679632254,0.600940004,0.56187711
3/14/2008,27.96,20.75598681,15.88261859,2.08,1.86,105202600,1.243374104,0.277109141,15,0,8,23,0.652173913,0,0.347826087,4.23333,260223.1537,68.22,0.556462038,0.558510917,0.586248949
3/17/2008,28.3,21.00838437,16.07575486,2.08,1.86,84493820,1.243374104,0.275645458,15,0,8,23,0.652173913,0,0.347826087,4.23333,263387.5268,66.53,0.532325089,0.521601167,0.579731285
3/18/2008,29.42,21.83981159,16.71196848,2.08,1.86,83326660,1.243374104,0.306562475,15,0,8,23,0.652173913,0,0.347826087,4.23333,273811.3441,71.7,0.488487461,0.477349162,0.581731161
3/19/2008,28.62,21.245935,16.25753018,2.08,1.86,61448200,1.243374104,0.322465895,15,0,8,23,0.652173913,0,0.347826087,4.23333,266365.7603,70.17,0.541368636,0.456094532,0.677899965
3/20/2008,29.18,21.66164861,16.57563699,2.08,1.86,60173270,1.243374104,0.328869512,15,0,8,23,0.652173913,0,0.347826087,4.23333,271577.669,73.19,0.541183887,0.508348087,0.689509488
3/24/2008,29.17,21.65422516,16.56995652,2.08,1.86,48294620,1.243374104,0.32827018,15,0,8,23,0.652173913,0,0.347826087,4.23333,271484.5992,75.95,0.604714809,0.567243824,0.735864895
3/25/2008,29.14,21.63195478,16.55291508,2.08,1.86,49170300,1.243374104,0.322753501,15,0,8,23,0.652173913,0,0.347826087,4.23333,271205.3898,75.17,0.461757512,0.526097794,0.715036843
3/26/2008,28.56,21.20139426,16.22344731,2.08,1.86,45868070,1.322556827,0.331720129,15,0,8,23,0.652173913,0,0.347826087,4.23333,265807.3415,73.8,0.293904746,0.566830232,0.631882087
3/27/2008,28.05,20.82279793,15.9337429,2.08,1.86,47894310,1.322556827,0.331342761,15,0,8,23,0.652173913,0,0.347826087,4.23333,261060.7819,70.8,0.315087289,0.540212243,0.579411599
3/28/2008,27.91,20.71886953,15.85421619,2.08,1.86,49262030,1.322556827,0.331460618,15,0,8,23,0.652173913,0,0.347826087,4.23333,259757.8047,69.76,0.503736042,0.542085583,0.583522146
3/31/2008,28.38,21.06777202,16.12119869,2.08,1.86,46780580,1.322556827,0.334038173,15,0,8,23,0.652173913,0,0.347826087,4.23333,264132.0852,71.3,0.589686357,0.540583081,0.547772111
4/1/2008,29.4999,21.89912502,16.75735551,2.08,1.86,65796140,1.322556827,0.34324035,15,0,8,23,0.652173913,0,0.347826087,4.23333,274554.9718,76.7,0.483704455,0.539837466,0.515144917
